iter	Passed	Remaining
0	0	337
1	0	304
2	0	277
3	1	293
4	1	316
5	1	304
6	2	301
7	2	296
8	2	297
9	2	295
10	3	295
11	3	296
12	3	297
13	4	302
14	4	296
15	4	294
16	5	298
17	5	296
18	5	299
19	6	295
20	6	296
21	6	295
22	6	296
23	7	297
24	7	293
25	7	292
26	8	293
27	8	293
28	8	291
29	9	291
30	9	291
31	9	292
32	9	291
33	10	291
34	10	292
35	10	291
36	11	308
37	12	311
38	12	312
39	12	311
40	13	310
41	13	307
42	13	306
43	13	303
44	14	301
45	14	299
46	14	297
47	14	295
48	15	297
49	15	295
50	15	296
51	16	295
52	16	294
53	16	293
54	17	294
55	17	294
56	17	293
57	17	291
58	18	290
59	18	291
60	18	290
61	19	289
62	19	289
63	19	290
64	20	290
65	20	289
66	20	288
67	20	287
68	21	284
69	21	284
70	21	283
71	21	282
72	22	280
73	22	280
74	22	280
75	23	280
76	23	279
77	23	278
78	23	278
79	24	279
80	24	277
81	24	277
82	25	276
83	25	275
84	25	275
85	25	274
86	26	275
87	26	275
88	26	275
89	27	275
90	27	275
91	27	274
92	28	274
93	28	273
94	28	273
95	29	273
96	29	272
97	29	271
98	29	271
99	30	271
100	30	270
101	30	269
102	30	269
103	31	268
104	31	269
105	31	268
106	32	267
107	32	271
108	33	270
109	33	269
110	33	268
111	33	267
112	34	270
113	34	269
114	35	269
115	35	269
116	35	269
117	36	269
118	36	269
119	36	269
120	36	268
121	37	268
122	37	268
123	37	267
124	38	267
125	38	266
126	38	265
127	39	265
128	39	265
129	39	264
130	39	263
131	40	263
132	40	262
133	40	261
134	40	261
135	40	260
136	41	259
137	41	259
138	41	258
139	42	258
140	42	258
141	42	257
142	43	258
143	43	259
144	43	258
145	44	258
146	44	258
147	44	258
148	45	258
149	45	257
150	45	257
151	46	256
152	46	256
153	46	256
154	46	255
155	47	255
156	47	254
157	47	254
158	48	254
159	48	253
160	48	253
161	48	252
162	49	252
163	49	251
164	49	252
165	50	251
166	50	251
167	50	250
168	50	250
169	51	250
170	51	250
171	51	249
172	52	249
173	52	249
174	52	248
175	52	247
176	53	248
177	53	248
178	54	248
179	54	247
180	54	247
181	55	247
182	55	247
183	55	246
184	55	246
185	56	245
186	56	245
187	56	244
188	56	244
189	57	244
190	57	244
191	57	243
192	58	243
193	58	243
194	58	243
195	59	243
196	59	243
197	60	243
198	60	245
199	61	245
200	61	245
201	62	245
202	62	244
203	62	243
204	62	243
205	62	242
206	63	242
207	63	242
208	63	241
209	64	241
210	64	241
211	64	240
212	65	240
213	65	239
214	65	239
215	65	238
216	66	238
217	66	237
218	66	237
219	66	237
220	67	236
221	67	236
222	67	236
223	68	236
224	68	235
225	68	235
226	69	234
227	69	234
228	69	233
229	69	233
230	69	232
231	70	232
232	70	232
233	70	231
234	71	231
235	71	230
236	71	230
237	71	229
238	72	229
239	72	229
240	72	228
241	72	228
242	73	227
243	73	227
244	73	227
245	73	226
246	74	226
247	74	225
248	74	225
249	75	225
250	75	225
251	75	225
252	76	225
253	76	225
254	76	224
255	77	224
256	77	223
257	77	222
258	77	222
259	78	222
260	78	221
261	78	221
262	78	220
263	79	220
264	79	220
265	79	219
266	79	219
267	80	218
268	80	218
269	80	217
270	80	217
271	80	216
272	81	216
273	82	218
274	82	218
275	83	217
276	83	217
277	83	217
278	83	216
279	84	216
280	84	216
281	84	215
282	84	215
283	85	214
284	85	214
285	85	214
286	86	213
287	86	213
288	86	212
289	86	212
290	87	212
291	87	211
292	87	211
293	88	211
294	88	211
295	88	210
296	88	210
297	89	210
298	89	209
299	89	209
300	90	209
301	90	208
302	90	208
303	90	208
304	91	208
305	91	207
306	91	207
307	92	207
308	92	206
309	92	206
310	93	207
311	93	206
312	94	206
313	94	205
314	94	205
315	94	205
316	95	204
317	95	204
318	95	203
319	95	203
320	96	203
321	96	202
322	96	202
323	97	202
324	97	202
325	97	202
326	98	201
327	98	201
328	98	201
329	98	200
330	99	200
331	99	200
332	99	199
333	100	199
334	100	200
335	101	199
336	101	199
337	101	198
338	101	198
339	102	198
340	102	198
341	102	197
342	102	197
343	103	197
344	103	196
345	103	196
346	104	195
347	104	195
348	104	195
349	104	194
350	105	194
351	105	194
352	105	193
353	105	193
354	106	193
355	106	192
356	106	192
357	107	192
358	107	191
359	107	191
360	108	191
361	108	190
362	108	190
363	108	190
364	109	189
365	109	189
366	109	189
367	110	189
368	110	188
369	110	188
370	110	188
371	111	187
372	111	187
373	111	187
374	112	187
375	112	187
376	112	186
377	113	186
378	113	185
379	113	185
380	114	185
381	114	185
382	114	184
383	115	184
384	115	184
385	115	183
386	115	183
387	116	183
388	116	183
389	116	182
390	117	182
391	117	182
392	117	181
393	117	181
394	118	181
395	118	180
396	118	180
397	119	180
398	119	179
399	119	179
400	119	179
401	120	178
402	120	178
403	120	178
404	121	177
405	121	177
406	121	177
407	121	176
408	122	176
409	122	176
410	122	175
411	123	175
412	123	175
413	123	174
414	123	174
415	124	174
416	124	173
417	124	173
418	124	173
419	125	173
420	125	172
421	125	172
422	126	172
423	127	172
424	127	172
425	127	172
426	128	171
427	128	171
428	128	171
429	128	170
430	129	170
431	129	170
432	129	169
433	130	169
434	130	169
435	130	169
436	131	168
437	131	168
438	131	168
439	131	167
440	132	167
441	132	167
442	132	166
443	132	166
444	133	166
445	133	165
446	133	165
447	133	165
