,loan_id,loan_amount,loan_duration,installment_amount,fund_transfer_ts,application_id
0,2005021333515.0,421632.0,5.0,113000.0,2021-10-28 02:53:53.512501+00:00,2004026968180.0
1,2005020717595.0,300000.0,3.0,118000.0,2021-04-10 15:20:20.480261+00:00,2004025774535.0
2,2005020670558.0,500000.0,6.0,113000.0,2021-02-23 08:27:53.192023+00:00,2004025905571.0
3,2005020659087.0,2500000.0,6.0,566000.0,2021-02-10 02:41:30.887286+00:00,2004025905571.0
4,2005020662482.0,500000.0,,196000.0,2021-02-14 01:57:11.613161+00:00,2004025659077.0
5,2005020635406.0,4000000.0,6.0,986000.0,2021-01-12 07:18:28.785944+00:00,2004025709955.0
6,2005020824755.0,53684.0,1.0,57799.0,2021-06-13 07:28:20.704756+00:00,2004026762017.0
7,2005020823574.0,2000000.0,4.0,600000.0,2021-06-13 00:06:38.235439+00:00,2004025774535.0
8,2005020871917.0,54043.0,1.0,62401.0,2021-07-03 10:07:12.004586+00:00,2004026489663.0
9,2005020871919.0,1000000.0,9.0,161000.0,2021-07-03 10:13:43.937203+00:00,2004026020036.0
10,2005020668018.0,500000.0,3.0,201000.0,2021-02-20 04:54:48.241091+00:00,2004025663861.0
11,2005021291617.0,151578.0,3.0,59000.0,2021-10-21 05:09:21.562301+00:00,2004027792593.0
12,2005020657087.0,5000000.0,4.0,1550000.0,2021-02-08 03:30:22.322334+00:00,2004025893232.0
13,2005020916195.0,105789.0,2.0,60000.0,2021-07-20 21:55:15.570924+00:00,2004026493724.0
14,2005020889797.0,320914.0,2.0,186000.0,2021-07-10 17:51:21.054162+00:00,2004026540462.0
15,2005020681800.0,3000000.0,6.0,680000.0,2021-03-08 02:00:23.088022+00:00,2004026041407.0
16,2005020889349.0,53211.0,1.0,55782.0,2021-07-10 12:37:14.149491+00:00,2004026472160.0
17,2005020818683.0,59768.0,1.0,63672.0,2021-06-10 22:25:26.546351+00:00,2004026693951.0
18,2005020855476.0,104400.0,1.0,113900.0,2021-06-27 05:33:04.248473+00:00,2004025734336.0
19,,25874.0,1.0,28590.0,2021-06-30 06:04:10.868333+00:00,2004026843724.0
20,2005020799378.0,300000.0,3.0,118000.0,2021-06-02 14:33:27.118652+00:00,2004025774535.0
21,2005020664761.0,300000.0,5.0,75000.0,2021-02-16 08:09:35.715180+00:00,2004025631947.0
22,2005020821066.0,15693.0,1.0,16718.0,2021-06-11 14:20:50.016664+00:00,
23,2005021167830.0,90524.0,1.0,97071.0,2021-09-29 15:00:53.418031+00:00,2004027282561.0
24,2005020668342.0,1000000.0,6.0,236000.0,2021-02-20 14:39:36.087436+00:00,2004025724999.0
25,2005020700675.0,500000.0,6.0,108000.0,2021-03-26 00:40:24.312758+00:00,2004025686373.0
26,2005020994834.0,26430.0,1.0,29460.0,2021-08-17 22:19:06.898169+00:00,2004026489663.0
27,2005021152409.0,300000.0,3.0,118000.0,2021-09-26 07:52:41.670198+00:00,2004027400828.0
28,2005020952362.0,1500000.0,,420000.0,2021-08-04 11:02:34.969244+00:00,2004026217276.0
29,2005020664995.0,4500000.0,6.0,1020000.0,2021-02-16 11:41:51.417621+00:00,2004025947324.0
30,2005020790088.0,105789.0,2.0,60000.0,,2004026493724.0
31,2005020671553.0,500000.0,5.0,140000.0,2021-02-24 10:41:42.613106+00:00,2004025753336.0
