,Unnamed: 0,payment_id,payment_number,due_date,due_amount,paid_date,paid_amount,loan_id,dpd
0,0,2006021951630,1.0,2021-02-07,0.0,2021-03-08,1026000.0,2005020633002.0,29.0
1,1,2006021922761,1.0,2021-02-06,0.0,2021-03-08,152000.0,2005020627308.0,30.0
2,2,2006023224658,3.0,2021-10-21,0.0,2021-11-20,1083000.0,2005020946947.0,30.0
3,3,2006023527657,2.0,2021-10-21,0.0,2021-11-20,805000.0,2005020978933.0,30.0
4,4,2006021922762,2.0,2021-03-06,0.0,,140000.0,2005020627308.0,
5,5,2006022485953,1.0,2021-06-09,0.0,2021-06-25,57942.0,2005020753475.0,16.0
6,6,2006022460499,1.0,2021-06-01,0.0,2021-06-30,56586.0,2005020747557.0,29.0
7,7,2006026627847,5.0,2022-03-01,493000.0,,0.0,2005021144061.0,
8,8,2006026627848,6.0,2022-04-01,493000.0,,0.0,2005021144061.0,
9,9,2006022460501,1.0,2021-06-01,0.0,2021-06-30,56586.0,2005020747559.0,29.0
10,10,2006022026030,3.0,2021-04-28,0.0,2021-05-28,560000.0,2005020649091.0,30.0
11,11,2006022460519,1.0,2021-06-01,0.0,2021-06-30,56586.0,2005020747569.0,29.0
12,12,2006022460520,1.0,2021-06-01,0.0,2021-06-30,56586.0,2005020747570.0,29.0
13,13,2006023211505,1.0,2021-09-05,0.0,2021-09-22,57225.0,2005020943254.0,17.0
14,14,2006022104933,6.0,2021-09-01,0.0,2021-07-30,789000.0,2005020666115.0,-33.0
15,15,2006021937085,2.0,2021-03-02,0.0,2021-03-27,616000.0,2005020630050.0,25.0
16,16,2006021937089,6.0,2021-07-02,0.0,2021-06-19,616000.0,2005020630050.0,-13.0
17,17,2006023021280,3.0,2021-10-02,0.0,2021-09-30,310000.0,2005020886608.0,-2.0
18,18,2006022104989,2.0,2021-05-01,0.0,2021-05-26,,2005020666128.0,25.0
19,19,2006021957613,1.0,2021-02-05,0.0,2021-03-05,1057000.0,2005020634140.0,28.0
20,20,2006023001209,1.0,2021-08-14,0.0,2021-09-13,23441.0,2005020882897.0,30.0
21,21,2006021958109,6.0,2021-07-01,0.0,2021-07-30,1450000.0,2005020634226.0,29.0
22,22,2006022064273,2.0,2021-04-01,0.0,2021-04-24,1550000.0,2005020657087.0,23.0
23,23,2006022086938,2.0,2021-04-01,0.0,2021-04-24,393000.0,2005020662021.0,23.0
24,24,2006022104988,1.0,2021-04-01,0.0,2021-04-24,626000.0,2005020666128.0,23.0
25,25,2006036795339,4.0,2022-03-09,260000.0,,0.0,2005021528270.0,
26,26,2006036795340,5.0,2022-04-09,260000.0,,0.0,2005021528270.0,
27,27,2006022641057,3.0,2021-09-03,0.0,2021-10-03,1813000.0,2005020788867.0,30.0
28,28,2006022177275,3.0,2021-06-27,0.0,2021-06-27,680000.0,2005020681800.0,0.0
29,29,2006022569696,1.0,2021-06-05,0.0,2021-07-04,378000.0,2005020772196.0,29.0
30,30,2006022460497,1.0,2021-06-01,0.0,2021-06-30,56586.0,2005020747555.0,29.0
31,31,2006022862279,1.0,2021-07-07,0.0,2021-08-06,54880.0,2005020843561.0,30.0
32,32,2006022460969,1.0,2021-06-01,0.0,2021-06-30,56586.0,2005020747673.0,29.0
